protein name	cluster
PPP1CC	91
CSRNP1	91
PPP1R3C	91
PPP1R2C	91
PPP1R8	91
PPP1R27	91
PPP1CB	91
ZSCAN29	92
ZSCAN30	92
ZNF232	92
SEC22C	92
ZNF446	92
SNX10	93
EI24	93
REEP6	93
M6PR	93
SLAMF6	93
C6orf47	93
DUSP12	93
MEST	93
STIM1	93
GOLT1B	93
SH3GL3	93
IFNGR1	93
RABAC1	93
SNX2	94
SNX6	94
SENP2	94
COQ3	94
HCCS	94
ARMC12	94
SNX1	94
RHBDD2	95
MAOB	95
HOXD12	95
FGF14	95
MICOS13	95
CNKSR1	96
CYTH2	96
CYTH3	96
IFI35	96
IPCEF1	96
CCDC120	96
NKRF	97
STRBP	97
STOX1	97
PRKRA	97
ADARB1	97
ZMAT4	97
LRSAM1	97
TARBP2	97
STAU1	97
ZNF346	97
PDIA4	98
CDCA3	98
XRN2	98
LCN2	98
HDDC2	98
CTDSP2	98
DYNLRB1	99
CRCP	99
ANKRD45	99
COX7C	99
MAGEA2B	99
MAGEA2	99
ACSM1	99
KCNE5	100
LDLRAD4	100
PGRMC1	100
GET3	100
TMX1	100
SPP1	100
NRIP3	101
ZFP41	101
ZNF485	101
AC138696.1	101
UBL5	101
CCDC28B	101
ZFP91	101
NXPE3	102
NCAPH2	102
TMEM106A	102
APOC3	102
C16orf92	102
FAM20B	102
SCGB1D1	102
SYT1	102
ATP6V0E1	102
SUSD3	102
COQ9	102
TM6SF2	102
SYT15	102
AMIGO1	102
SLC13A3	102
CD200R1	102
LEUTX	102
MRPS18B	102
TMEM236	102
TMEM106C	102
NCR3LG1	102
RELL2	102
CREB3L3	102
BCL2L13	102
ATP1B4	102
ICAM3	102
GJB5	102
MRM3	102
EOGT	102
CLSTN3	102
FAM209A	102
TMEM79	102
PAGE1	102
FRMD3	102
AQP2	102
AQP3	102
BSCL2	102
KIR2DL3	102
AHNAK2	102
PANX1	102
SLC26A6	102
ALG8	102
LHFPL2	102
SLC7A14	102
ERVFRD-1	102
RMDN3	102
GHITM	102
CDS1	102
CLEC14A	102
RHAG	102
JSRP1	102
CLEC4G	102
CHODL	102
TMEM47	102
GPR108	102
SLC14A2	102
SPINT1	102
BNIP3L	102
LOC102724488	102
PLEKHO1	102
C11orf24	102
SYNPR	102
SAR1A	102
TMEM154	102
VKORC1	102
PTPN5	102
HACD2	102
CYB5R3	102
TMEM45B	102
SLC1A1	102
SLC22A23	102
TWSG1	102
MS4A4A	102
HIBADH	102
GOLM2	102
CISD2	102
LRRC4C	102
SYNGAP1	103
REL	103
TDO2	103
ASB12	103
BCL2L15	103
ASMTL	103
EIF5A2	103
DHPS	103
TMEM69	104
CD300E	104
APH1B	104
TMEM71	104
LY6E	104
CLDN8	104
TRARG1	104
NPFFR2	104
SLCO3A1	104
AQP12B	104
SLC1A5	104
CXCR1	104
SLC39A1	104
WFS1	104
DCAF11	105
TNNI1	105
EFCAB2	105
TNNT2	105
TNNI2	105
RAB25	106
SH3BP5L	106
RAB14	106
MYO5B	106
RAB11B	106
TRAF2	107
RNF146	107
IMPDH1	107
SOX13	107
TNFAIP3	107
TIFA	107
DUSP4	107
RIPK1	107
ZNF219	108
AP1M1	108
SPATA6	108
ZNF707	108
BRD1	108
CASP8	108
